"RB","Akeem Hunt",3000,"Jax@Hou 01:00PM ET",1.980,"Hou"
"WR","Bryan Walters",3000,"Jax@Hou 01:00PM ET",3.943,"Jax"
"WR","Arrelious Benn",3000,"Jax@Hou 01:00PM ET",1.738,"Jax"
"WR","Keith Mumphery",3000,"Jax@Hou 01:00PM ET",0.850,"Hou"
"WR","Braxton Miller",3000,"Jax@Hou 01:00PM ET",3.090,"Hou"
"WR","Shane Wynn",3000,"Jax@Hou 01:00PM ET",1.700,"Jax"
"RB","Reggie Bush",3000,"Cle@Buf 01:00PM ET",2.227,"Buf"
"RB","Jerome Felton",3000,"Cle@Buf 01:00PM ET",0.608,"Buf"
"RB","George Atkinson III",3000,"Cle@Buf 01:00PM ET",0.000,"Cle"
"RB","Jonathan Williams",3000,"Cle@Buf 01:00PM ET",1.663,"Buf"
"WR","Andrew Hawkins",3000,"Cle@Buf 01:00PM ET",5.392,"Cle"
"WR","Brandon Tate",3000,"Cle@Buf 01:00PM ET",1.792,"Buf"
"WR","Justin Hunter",3000,"Cle@Buf 01:00PM ET",4.290,"Buf"
"WR","Dezmin Lewis",3000,"Cle@Buf 01:00PM ET",0.000,"Buf"
"WR","Ricardo Louis",3000,"Cle@Buf 01:00PM ET",2.638,"Cle"
"WR","Rashard Higgins",3000,"Cle@Buf 01:00PM ET",1.054,"Cle"
"TE","Gary Barnidge",3000,"Cle@Buf 01:00PM ET",7.731,"Cle"
"RB","Kyle Juszczyk",3000,"Phi@Bal 01:00PM ET",4.092,"Bal"
"RB","Javorius Allen",3000,"Phi@Bal 01:00PM ET",0.988,"Bal"
"RB","Lorenzo Taliaferro",3000,"Phi@Bal 01:00PM ET",1.333,"Bal"
"WR","Devin Hester",3000,"Phi@Bal 01:00PM ET",-0.091,"Bal"
"WR","Kamar Aiken",3000,"Phi@Bal 01:00PM ET",4.308,"Bal"
"WR","Chris Moore",3000,"Phi@Bal 01:00PM ET",1.091,"Bal"
"WR","Bryce Treggs",3000,"Phi@Bal 01:00PM ET",1.883,"Phi"
"RB","Anthony Sherman",3000,"Ten@KC 01:00PM ET",0.300,"KC"
"RB","Knile Davis",3000,"Ten@KC 01:00PM ET",0.940,"KC"
"RB","Jalston Fowler",3000,"Ten@KC 01:00PM ET",0.185,"Ten"
"RB","David Fluellen",3000,"Ten@KC 01:00PM ET",0,"Ten"
"RB","Antonio Andrews",3000,"Ten@KC 01:00PM ET",0.115,"Ten"
"WR","Harry Douglas",3000,"Ten@KC 01:00PM ET",3.275,"Ten"
"WR","Marc Mariani",3000,"Ten@KC 01:00PM ET",0.000,"Ten"
"WR","Tre McBride",3000,"Ten@KC 01:00PM ET",0.000,"Ten"
"WR","De'Anthony Thomas",3000,"Ten@KC 01:00PM ET",1.289,"KC"
"WR","Demarcus Robinson",3000,"Ten@KC 01:00PM ET",0.000,"KC"
"RB","Bobby Rainey",3000,"Det@NYG 01:00PM ET",3.083,"NYG"
"RB","Joique Bell",3000,"Det@NYG 01:00PM ET",0.280,"Det"
"RB","Michael Burton",3000,"Det@NYG 01:00PM ET",0.000,"Det"
"RB","Zach Zenner",3000,"Det@NYG 01:00PM ET",3.673,"Det"
"WR","Dwayne Harris",3000,"Det@NYG 01:00PM ET",0.562,"NYG"
"WR","Andre Roberts",3000,"Det@NYG 01:00PM ET",3.646,"Det"
"WR","Tavarres King",3000,"Det@NYG 01:00PM ET",0.267,"NYG"
"WR","TJ Jones",3000,"Det@NYG 01:00PM ET",7.900,"Det"
"WR","Roger Lewis",3000,"Det@NYG 01:00PM ET",2.870,"NYG"
"RB","Zach Line",3000,"Ind@Min 01:00PM ET",0.115,"Min"
"RB","Jordan Todman",3000,"Ind@Min 01:00PM ET",0.769,"Ind"
"RB","Josh Ferguson",3000,"Ind@Min 01:00PM ET",2.731,"Ind"
"WR","Charles Johnson",3000,"Ind@Min 01:00PM ET",2.192,"Min"
"WR","Jarius Wright",3000,"Ind@Min 01:00PM ET",1.820,"Min"
